H2 ppm,CH4 ppm,C2H6 ppm,C2H4 ppm,C2H2 ppm,H2 percentage,CH4 percentage,C2H6 percentage,C2H4 percentage,C2H2 percentage,Centroid X,Centroid Y,Expected Region,Matched Region
20.0,48.0,36.0,186.0,0.001,6.8965279430070945,16.551667063217025,12.413750297412768,64.13770986996597,0.0003448263971503547,5.977786084606174,-17.33453907219781,PentagonRegions.T3,PentagonRegions.T3
179.0,306.0,73.0,579.0,0.001,15.743169970826761,26.912905089793238,6.42039892665002,50.92343806205976,8.795067022808248e-05,3.0277685072967513,-17.824269755071523,PentagonRegions.T3,PentagonRegions.T3
73.0,177.0,37.0,52.0,0.001,21.533859782124537,52.212235362137584,10.914422081350793,15.33918779000652,0.0002949843805770485,-8.967914292608944,-12.468264702965556,PentagonRegions.T2,PentagonRegions.T2
37.0,96.0,19.0,57.0,0.001,17.703264577681445,45.93279457993024,9.090865593944526,27.27259678183358,0.00047846661020760665,-5.463566905736185,-15.514791083856622,PentagonRegions.T2,PentagonRegions.T2
46.0,147.0,27.0,150.0,0.001,12.43239883135451,39.729622352372026,7.297277574925473,40.54043097180819,0.0002702695398120546,-1.446974998788316,-18.736122994050138,PentagonRegions.T3,PentagonRegions.T3
18.0,63.0,20.0,51.0,0.001,11.84202735508319,41.44709574279116,13.157808172314656,33.55241083940237,0.0006578904086157328,-4.543491902013029,-15.61135731142906,PentagonRegions.T2,PentagonRegions.T2
28.0,62.0,16.0,76.0,0.001,15.384530854226075,34.065746891500595,8.791160488129186,41.75801231861364,0.0005494475305080741,-0.5741199042174713,-16.557158086668046,PentagonRegions.T3,PentagonRegions.T3
68.0,78.0,103.0,136.0,0.001,17.662291786255103,20.25968763717497,26.753177264474637,35.32458357251021,0.0002597395850919868,-4.9956634506769815,-4.687917857598863,PentagonRegions.T3,PentagonRegions.T3
54.0,143.0,23.0,101.0,0.001,16.82237750038162,44.54814782508466,7.165086713125504,31.464076435898956,0.0003115255092663263,-4.006704536559735,-17.14239147876631,PentagonRegions.T2,PentagonRegions.T2
86.0,277.0,63.0,338.0,0.001,11.256529768940094,36.25649704646984,8.24606250515379,44.24077978955525,0.00013088988103418715,-0.3200373069759442,-18.569805780165197,PentagonRegions.T3,PentagonRegions.T3
20.0,19.0,45.0,77.0,0.001,12.42228309140937,11.801168936838902,27.950136955671084,47.82578990192607,0.0006211141545704685,-2.237516236555088,-5.427802745483218,PentagonRegions.T3,PentagonRegions.T3
25.0,49.0,42.0,58.0,0.001,14.36773351877288,28.160757696794846,24.13779231153844,33.33314176355308,0.0005747093407509152,-5.421323567684526,-8.40365815773742,PentagonRegions.T2,PentagonRegions.T2
53.0,150.0,64.0,379.0,0.001,8.204321665136742,23.219778297556815,9.907105406957575,58.66863983182689,0.0001547985219837121,4.4439134495653025,-18.51316980846106,PentagonRegions.T3,PentagonRegions.T3
114.0,241.0,80.0,574.0,0.001,11.298303966002015,23.885011015846366,7.928634362106678,56.88795154811541,9.910792952633348e-05,4.395569174193966,-18.471715824798736,PentagonRegions.T3,PentagonRegions.T3
99.0,288.0,73.0,386.0,0.001,11.70211382728862,34.042512952112354,8.6288314080007,45.62642360942836,0.00011820316997261234,0.24963302383515457,-18.133052622329732,PentagonRegions.T3,PentagonRegions.T3
1374.0,2648.0,628.0,5376.0,298.0,13.308795040681906,25.6489732661759,6.082913599380086,52.07283998450213,2.8864781092599765,4.1899915103029555,-17.2879000297814,PentagonRegions.T3,PentagonRegions.T3
34.0,83.0,100.0,136.0,0.001,9.631700760054505,23.51268126719188,28.32853164721913,38.52680304021802,0.0002832853164721913,-4.789573796512954,-8.544601400862609,PentagonRegions.T3,PentagonRegions.T3
20.0,132.0,61.0,17.0,0.001,8.695614366894057,57.391054821500774,26.521623819026875,7.391272211859948,0.0004347807183447029,-16.54055978327063,-11.718918836143033,PentagonRegions.T1,PentagonRegions.T1
13.0,138.0,83.0,16.0,0.001,5.1999792000832,55.19977920088319,33.199867200531195,6.3999744001023995,0.00039999840000639995,-18.784186610353107,-11.020330916123614,PentagonRegions.T1,PentagonRegions.T1
179.0,306.0,73.0,579.0,0.001,15.743169970826761,26.912905089793238,6.42039892665002,50.92343806205976,8.795067022808248e-05,3.0277685072967513,-17.824269755071523,PentagonRegions.T3,PentagonRegions.T3
57.0,141.0,38.0,51.0,0.001,19.860557977149906,49.12874868031819,13.240371984766606,17.769972926923604,0.00034843084170438436,-8.653559236835356,-11.968401787985986,PentagonRegions.T2,PentagonRegions.T2
35.0,283.0,121.0,222.0,0.001,5.29499955370718,42.81385353426092,18.305569885673396,33.58542574065698,0.00015128570153449087,-6.16101042457314,-15.889988434700307,PentagonRegions.T2,PentagonRegions.T2
15.0,159.0,29.0,87.0,0.001,5.17239595725532,54.8273971469064,9.999965517360286,29.999896552080855,0.0003448263971503547,-7.035192675974535,-20.057441062770494,PentagonRegions.T2,PentagonRegions.T2
55.0,159.0,114.0,493.0,0.001,6.699139221511302,19.366602476732673,13.885488568223426,60.04864793100131,0.0001218025313002055,4.364917216494686,-16.778195504920323,PentagonRegions.T3,PentagonRegions.T3
37.0,123.0,67.0,52.0,0.001,13.26160121289888,44.08586349152871,24.014250844979053,18.637926028938967,0.0003584216544026724,-10.790093757158049,-9.85547339284911,PentagonRegions.T1,PentagonRegions.T1
7.0,15.0,78.0,58.0,0.001,4.4303517066347675,9.493610799931645,49.36677615964456,36.70862842640236,0.0006329073866621097,-9.432319943772935,-1.6640757609159527,PentagonRegions.T1,PentagonRegions.T1
30.0,51.0,12.0,54.0,0.001,20.40802443520792,34.69364153985347,8.16320977408317,36.73444398337426,0.0006802674811735974,-1.4959145528089803,-14.897118356337014,PentagonRegions.T3,PentagonRegions.T3
109.0,226.0,68.0,192.0,0.001,18.319296942358083,37.98312944011859,11.428552220920638,32.26885332965827,0.0001680669444253035,-3.709735134806666,-13.712685133090549,PentagonRegions.T2,PentagonRegions.T2
137.0,279.0,66.0,505.0,0.001,13.880431732085377,28.267448563881903,6.686923316187117,51.165095070825664,0.00010131701994222905,2.803149224494159,-18.400213278164337,PentagonRegions.T3,PentagonRegions.T3
59.0,119.0,36.0,70.0,0.001,20.774574737412898,41.901260911053136,12.676011704184143,24.647800535913607,0.00035211143622733724,-6.044162983064468,-11.862164313456805,PentagonRegions.T2,PentagonRegions.T2
376.0,575.0,146.0,1092.0,0.001,17.176785209326077,26.26769014724068,6.669709150429807,49.88576981006404,4.568293938650553e-05,2.8431175467715284,-17.058864427233146,PentagonRegions.T3,PentagonRegions.T3
17.0,40.0,11.0,86.0,0.001,11.038889357861311,25.97385731261485,7.142810760969084,55.84379322212193,0.0006493464328153714,4.05058382015449,-19.137402387319437,PentagonRegions.T3,PentagonRegions.T3
