H2 ppm,CH4 ppm,C2H6 ppm,C2H4 ppm,C2H2 ppm,H2 percentage,CH4 percentage,C2H6 percentage,C2H4 percentage,C2H2 percentage,Centroid X,Centroid Y,Expected Region,Matched Region
9340.0,995.0,60.0,6.0,7.0,89.73866256725596,9.559953881629516,0.5764796310530361,0.05764796310530361,0.06725595695618755,-0.33965368741321017,26.879222889794978,PentagonRegions.PD,PentagonRegions.PD
8200.0,3790.0,250.0,4620.0,5830.0,36.13926840017629,16.703393565447332,1.101806963420009,20.361392684001764,25.694138386954606,7.608096793663537,4.950853965069623,PentagonRegions.D2,PentagonRegions.D2
20.0,132.0,61.0,17.0,0.0001,8.69564839319635,57.39127939509592,26.52172759924887,7.3913011342168975,4.3478241965981756e-05,-16.54067426095809,-11.719000462170914,PentagonRegions.T1,PentagonRegions.T1
19.0,48.0,76.0,18.0,0.001,11.801168936838902,29.81347941938249,47.20467574735561,11.180054782268432,0.0006211141545704685,-16.901166703047924,-1.4172873942130353,PentagonRegions.T1,PentagonRegions.T1
2500.0,10500.0,4790.0,13500.0,6.0,7.988241308793456,33.55061349693251,15.305470347648262,43.13650306748466,0.019171779141104295,-1.7923343117717285,-15.958290373253158,PentagonRegions.T3,PentagonRegions.T3
0.0001,0.0001,0.0001,142.0,0.0001,7.042233683848778e-05,7.042233683848778e-05,7.042233683848778e-05,99.99971831065264,7.042233683848778e-05,19.592770119268742,-26.96713456410935,PentagonRegions.T3,PentagonRegions.T3
88.7,460.8,94.9,184.6,18.3,10.468547149769858,54.3845155198867,11.200283252685,21.786852354537945,2.1598017231205007,-8.273274005825948,-16.258737774985207,PentagonRegions.T2,PentagonRegions.T2
0.001,0.001,9.0,57.0,0.001,0.0015150826477584353,0.0015150826477584353,13.635743829825916,86.3597109222308,0.0015150826477584353,14.02348662502208,-19.921496565917746,PentagonRegions.T3,PentagonRegions.T3
6709.0,10500.0,1400.0,17700.0,750.0,18.10356458620038,28.333198413340888,3.777759788445452,47.76167732534607,2.0237998866672062,3.2112616116369987,-17.510820445073257,PentagonRegions.T3,PentagonRegions.T3
1651.0,90.0,33.0,45.0,2.0,90.66447007138935,4.942339373970346,1.8121911037891267,2.471169686985173,0.10982976386600769,-0.5806591930986124,26.889535882203518,PentagonRegions.PD,PentagonRegions.PD
