H2 ppm,CH4 ppm,C2H6 ppm,C2H4 ppm,C2H2 ppm,H2 percentage,CH4 percentage,C2H6 percentage,C2H4 percentage,C2H2 percentage,Centroid X,Centroid Y,Expected Region,Matched Region
8200.0,3790.0,250.0,4620.0,277.0,47.84968197467468,22.115889595611833,1.4588317675205695,26.959211063780124,1.6163855984127908,0.8189759242478728,-7.3452569160800465,PentagonRegions.D2,PentagonRegions.T3
75.0,15.0,7.0,14.0,250.0,20.77562326869806,4.1551246537396125,1.9390581717451523,3.8781163434903045,69.25207756232687,21.249740540515795,12.47697835068117,PentagonRegions.D2,PentagonRegions.D1
530.0,345.0,85.0,266.0,21.0,42.502004811547714,27.666399358460303,6.8163592622293505,21.331194867682438,1.6840417000801924,-2.1946561080226203,-3.349352957154246,PentagonRegions.D2,PentagonRegions.T1
60.0,5.0,2.0,21.0,32.0,50.0,4.166666666666666,1.6666666666666667,17.5,26.666666666666668,8.63597771832494,13.210464069782601,PentagonRegions.D2,PentagonRegions.D1
5900.0,1500.0,68.0,1200.0,800.0,62.31516687790452,15.842839036755388,0.7182087029995775,12.67427122940431,8.449514152936207,2.010476123131461,11.749359117472688,PentagonRegions.D2,PentagonRegions.D1
14.0,14.0,124.0,7.0,1.0,8.75,8.75,77.5,4.375,0.625,-24.604128355501263,7.9005389673664785,PentagonRegions.T1,PentagonRegions.S
19.3,103.0,159.0,19.0,0.6,6.414091060152874,34.23064140910601,52.84147557328015,6.314390162844798,0.19940179461615154,-20.8289459952577,-2.808098920202281,PentagonRegions.T3,PentagonRegions.T1
27.0,30.0,23.0,2.4,0.1,32.72727272727273,36.36363636363637,27.878787878787882,2.909090909090909,0.12121212121212122,-12.247615930649106,2.193278634084933,PentagonRegions.T1,PentagonRegions.S
23.0,63.0,54.0,10.0,0.3,15.302727877578176,41.91616766467065,35.928143712574844,6.65335994677312,0.19960079840319359,-16.121041257941545,-4.382128616746159,PentagonRegions.D1,PentagonRegions.T1
160.0,130.0,33.0,96.0,0.1,38.177046051061794,31.01884991648771,7.874015748031496,22.906227630637076,0.023860653781913623,-3.1598101102651275,-6.444810519227905,PentagonRegions.T2,PentagonRegions.T3
180.0,175.0,75.0,50.0,4.0,37.1900826446281,36.15702479338843,15.495867768595042,10.330578512396695,0.8264462809917356,-7.367547555723857,-0.5336735842550756,PentagonRegions.T2,PentagonRegions.T1
30.4,117.0,44.2,138.0,0.1,9.22050348801941,35.48680618744313,13.406126781922959,41.85623293903548,0.03033060357901122,-1.9129790425840136,-16.459656310770082,PentagonRegions.T2,PentagonRegions.T3
980.0,73.0,58.0,12.0,0.001,87.26617340501033,6.500439447516075,5.164732711725101,1.0685653886327795,8.904711571939829e-05,-1.7162329135051657,27.06514478292106,PentagonRegions.PD,PentagonRegions.S
160.0,130.0,33.0,96.0,0.001,38.18606638170315,31.026178935133807,7.875876191226275,22.91163982902189,0.0002386629148856447,-3.166132990621623,-6.460226060702139,PentagonRegions.T1,PentagonRegions.T3
650.0,53.0,35.0,20.0,0.001,85.75186576271008,6.992075208344052,4.617408156453619,2.6385189465449255,0.0001319259473272463,-1.537553298870752,25.549907551407053,PentagonRegions.PD,PentagonRegions.S
300.0,490.0,180.0,360.0,95.0,21.052631578947366,34.385964912280706,12.631578947368421,25.263157894736842,6.666666666666667,-3.087219737015466,-8.081215731298125,PentagonRegions.T2,PentagonRegions.T3
200.0,700.0,250.0,740.0,1.0,10.576414595452142,37.017451084082495,13.220518244315176,39.13273400317293,0.052882072977260705,-2.677464379846477,-16.007762357942457,PentagonRegions.T2,PentagonRegions.T3
625.0,130.0,47.0,2.0,0.0001,77.73630873926508,16.169152217767138,5.8457704171927345,0.24875618796564827,1.2437809398282413e-05,-2.4039390961033322,21.11463153533102,PentagonRegions.T1,PentagonRegions.S
56.0,61.0,75.0,32.0,31.0,21.96078431372549,23.92156862745098,29.411764705882355,12.549019607843137,12.156862745098039,-7.035176408538958,1.589390889873392,PentagonRegions.PD,PentagonRegions.T1
235.46,333.59,177.52,1201.85,148.87,11.22686895946674,15.905764105107064,8.464256254499855,57.30490299386351,7.09820768706283,7.384587598661277,-14.530000123642404,PentagonRegions.D2,PentagonRegions.T3
505.57,475.35,242.3,524.45,3.29,28.8738749029104,27.147964545163795,13.838123086763831,29.952140540046607,0.1878969251153653,-3.075302504157807,-6.448370793250043,PentagonRegions.T1,PentagonRegions.T3
