H2 ppm,CH4 ppm,C2H6 ppm,C2H4 ppm,C2H2 ppm,H2 percentage,CH4 percentage,C2H6 percentage,C2H4 percentage,C2H2 percentage,Centroid X,Centroid Y,Expected Region,Matched Region
137.0,6.0,11.4,6.4,16.5,77.2701635645798,3.3840947546531304,6.429780033840947,3.6097010716300053,9.306260575296108,0.9142448092972283,25.17166096416908,PentagonRegions.D1,PentagonRegions.D1
0.0001,0.0001,9.0,57.0,0.0001,0.00015151446281304781,0.00015151446281304781,13.636301653174302,86.36324380343724,0.00015151446281304781,14.024102838944389,-19.922355150213132,PentagonRegions.T3,PentagonRegions.T3
185.0,302.0,27.0,33.0,0.0001,33.82083476767189,55.21022756668601,4.936013722849411,6.032905661260391,1.828153230684967e-05,-8.860225329442907,-9.647368839911008,PentagonRegions.T2,PentagonRegions.T2
33046.0,619.0,58.0,2.0,0.0001,97.98665649225603,1.8354336491165795,0.17197924337441292,0.005930318737048722,2.965159368524361e-07,-0.0613211807505988,32.04963646009943,PentagonRegions.PD,PentagonRegions.PD
36.0,167.0,230.0,18.0,0.0001,7.982259870895817,37.02881662332226,50.99777139738993,3.9911299354479084,2.2172944085821713e-05,-21.188251383766445,-3.008381293007833,PentagonRegions.T1,PentagonRegions.T1
210.0,43.0,12.0,102.0,187.0,37.90613718411552,7.761732851985561,2.166064981949458,18.4115523465704,33.754512635379065,10.634937785695751,9.19662224284367,PentagonRegions.D2,PentagonRegions.D2
8.0,1.0,0.0001,60.0,0.0001,11.594169292262919,1.4492711615328648,0.0001449271161532865,86.9562696919719,0.0001449271161532865,16.752804209814666,-23.839711446342836,PentagonRegions.T3,PentagonRegions.T3
30.0,25.5,31.5,93.0,1.8,16.5016501650165,14.026402640264028,17.326732673267326,51.15511551155115,0.9900990099009901,1.655900083865255,-8.84447734400391,PentagonRegions.T3,PentagonRegions.T3
179.0,29.0,10.0,17.0,33.0,66.7910447761194,10.820895522388058,3.731343283582089,6.343283582089552,12.313432835820896,2.481790086619428,19.4977174386045,PentagonRegions.D1,PentagonRegions.D1
109.0,16.0,0.0001,0.0001,0.0001,87.19979072050226,12.799969280073729,7.99998080004608e-05,7.99998080004608e-05,7.99998080004608e-05,-0.32100884026014326,24.904238785916032,PentagonRegions.PD,PentagonRegions.PD
18.0,63.0,20.0,51.0,0.0001,11.842097472304294,41.44734115306503,13.157886080338105,33.55260950486217,6.578943040169053e-05,-4.543639621213707,-15.611577640527853,PentagonRegions.T2,PentagonRegions.T2
13.0,138.0,83.0,16.0,0.0001,5.199997920000832,55.199977920008834,33.199986720005306,6.399997440001023,3.9999984000006396e-05,-18.784288717444518,-11.02038979151052,PentagonRegions.T1,PentagonRegions.T1
74.0,173.0,263.0,33.0,0.0001,13.627990123758726,31.860030965003507,48.43461354795331,6.077346947081594,1.8416202869944223e-05,-18.541284711235868,-0.5210327836237312,PentagonRegions.T1,PentagonRegions.T1
6454.0,2313.0,121.0,2159.0,6432.0,36.924309171005206,13.233022484123804,0.6922592825676527,12.35196521540134,36.798443846901996,11.033699022691076,10.559213465960633,PentagonRegions.D1,PentagonRegions.D1
54.0,143.0,23.0,101.0,0.0001,16.82242466591132,44.54827272639479,7.165106802147414,31.46416465290821,3.115263827020615e-05,-4.006774762849732,-17.142539289035295,PentagonRegions.T2,PentagonRegions.T2
0.0001,153.0,130.0,677.0,13.0,1.0277491235612412e-05,15.72456159048699,13.360738606296135,69.57861566509604,1.3360738606296136,8.09786300902435,-19.684157981963455,PentagonRegions.T3,PentagonRegions.T3
290.0,966.0,299.0,1810.0,57.0,8.47457627118644,28.22910578609001,8.737580362361193,52.893045002922264,1.6656925774400935,3.0948060486085565,-18.39378626443191,PentagonRegions.T3,PentagonRegions.T3
186.0,38.3,13.0,37.0,85.9,51.63797890061077,10.632981676846194,3.6091060521932254,10.272071071626874,23.84786229872293,6.247439404225266,14.753999837563683,PentagonRegions.D1,PentagonRegions.D1
36036.0,4704.0,554.0,5.0,10.0,87.23522719020067,11.38734900384904,1.3411121063206566,0.012103899876540222,0.024207799753080444,-0.6735130482096001,25.531279956183774,PentagonRegions.PD,PentagonRegions.PD
13.0,59.0,117.0,44.0,0.0001,5.579396747040023,25.321877544258562,50.21457072336021,18.88411206690469,4.291843651569249e-05,-15.573809534249792,-2.8751568722231378,PentagonRegions.T1,PentagonRegions.T1
18.34,16.26,3.38,17.95,16.42,25.348997926744985,22.474084312370422,4.671734623358673,24.809951624049752,22.69523151347616,5.412927897609821,-1.5020159458105624,PentagonRegions.D2,PentagonRegions.D2
35.1,50.6,16.1,93.0,1.1,17.917304747320063,25.829504849412967,8.218478815722307,47.47320061255743,0.5615109749872383,2.122298626578966,-15.2935858723878,PentagonRegions.T3,PentagonRegions.T3
59.0,119.0,36.0,70.0,0.0001,20.77464057230966,41.90139369669236,12.676051874629623,24.647878645113156,3.521125520730451e-05,-6.044250394916778,-11.862291887482963,PentagonRegions.T2,PentagonRegions.T2
37.9,7.7,2.16,18.4,33.7,37.9531343881434,7.710795113158422,2.1630282395353495,18.425796114560384,33.74724614460244,10.639480449978088,9.214998649990784,PentagonRegions.D2,PentagonRegions.D2
0.0001,106.0,170.0,871.0,6.0,8.67302613416946e-06,9.193407702219627,14.744144428088083,75.54205762861599,0.5203815680501676,10.051947970541594,-19.32313393649904,PentagonRegions.T3,PentagonRegions.T3
2587.2,112.25,4.704,1.4,0.0001,95.6255134576684,4.148872868592796,0.17386456992303348,0.051745407715188534,3.696100551084896e-06,-0.09764419966302933,30.134188006258505,PentagonRegions.PD,PentagonRegions.PD
220.0,340.0,42.0,480.0,14.0,20.072992700729927,31.02189781021898,3.832116788321168,43.79562043795621,1.2773722627737227,1.8049548584267228,-17.29381665307656,PentagonRegions.T3,PentagonRegions.T3
39.0,525.0,538.0,2925.0,16.0,0.964630225080386,12.985406876082116,13.306950284442246,72.34726688102894,0.39574573336631214,8.762894356072323,-19.515146219928866,PentagonRegions.T3,PentagonRegions.T3
156.0,240.0,54.0,399.0,0.98,18.35337302054166,28.235958493141016,6.353090660956728,46.94228099484693,0.11529683051365915,2.0377636122631624,-16.811847298524857,PentagonRegions.T3,PentagonRegions.T3
32.4,5.5,1.4,12.6,13.2,49.76958525345622,8.448540706605224,2.1505376344086025,19.35483870967742,20.276497695852534,6.348940816938313,10.741533046586955,PentagonRegions.D2,PentagonRegions.D2
0.0001,28.0,64.0,408.0,6.0,1.9762841944102383e-05,5.533595744348667,12.648218844225525,80.63239513193773,1.185770516646143,12.676096438594458,-20.347620604268897,PentagonRegions.T3,PentagonRegions.T3
220.0,77.0,22.0,170.0,240.0,30.178326474622768,10.562414266117969,3.017832647462277,23.319615912208505,32.92181069958848,10.477138027101853,4.5773084733168385,PentagonRegions.D2,PentagonRegions.D2
217.0,286.0,14.0,458.0,884.0,11.672942442173213,15.384615384615385,0.7530930607853685,24.636901559978483,47.55244755244755,15.207373237392607,-0.5971522962754106,PentagonRegions.D2,PentagonRegions.D2
1100.0,1600.0,221.0,2010.0,26.0,22.19084123461771,32.27758725035304,4.458341738955013,40.548718983256,0.5245107928182369,0.6576904435267094,-16.57120295513375,PentagonRegions.T3,PentagonRegions.T3
7600.0,1230.0,318.0,836.0,1560.0,65.83506583506583,10.654885654885655,2.754677754677755,7.241857241857241,13.513513513513514,3.1931970684290993,19.0451516568694,PentagonRegions.D1,PentagonRegions.D1
13500.0,6110.0,212.0,4510.0,4040.0,47.582123220076134,21.535316509234455,0.7472155646411955,15.895953757225435,14.239390948822784,3.3338622020809328,6.2569998275019145,PentagonRegions.D2,PentagonRegions.D2
0.0001,153.0,395.0,11.7,0.0001,1.786670792685084e-05,27.336063128081783,70.57349631106081,2.090404827441548,1.786670792685084e-05,-27.073620244254027,-0.3276515341743847,PentagonRegions.T1,PentagonRegions.T1
16.0,98.0,35.0,64.0,0.0001,7.511733562566403,46.00936807071921,16.431917168114005,30.04693425026561,4.6948334766040015e-05,-6.94993664713455,-15.887972934617572,PentagonRegions.T2,PentagonRegions.T2
254.0,5.2,0.0001,9.3,88.0,71.2482268588424,1.458625116795199,2.8050483015292284e-05,2.6086949204221823,24.68442505345721,7.827605093007262,25.373096434673286,PentagonRegions.D1,PentagonRegions.D1
292.0,346.0,32.0,313.0,196.0,24.766751484308735,29.34690415606446,2.7141645462256148,26.547921967769295,16.62425784563189,3.248851954779011,-5.664711963381921,PentagonRegions.D2,PentagonRegions.D2
2177.0,1049.0,207.0,440.0,705.0,47.55351681957187,22.91393621668851,4.521625163826998,9.611183923110529,15.399737876802098,2.1706682720581965,9.586963759982662,PentagonRegions.D1,PentagonRegions.D1
65.2,20.0,3.9,8.13,25.1,53.298454998773806,16.349219324777238,3.188097768331562,6.645957655521949,20.51827025259544,4.8569830841252015,15.360334333317926,PentagonRegions.D1,PentagonRegions.D1
