h2,ch4,c2h6,c2h4,c2h2,act
41,65,22,58,0.001,5
20,48,36,186,0.001,6
179,306,73,579,0.001,6
73,177,37,52,0.001,5
39,7,12,65,0.001,6
37,96,19,57,0.001,5
46,147,27,150,0.001,6
18,63,20,51,0.001,5
28,62,16,76,0.001,6
68,78,103,136,0.001,6
54,143,23,101,0.001,5
19,47,27,62,0.001,5
86,277,63,338,0.001,6
20,19,45,77,0.001,6
25,49,42,58,0.001,5
53,150,64,379,0.001,6
114,241,80,574,0.001,6
99,288,73,386,0.001,6
1374,2648,628,5376,298,6
34,83,100,136,0.001,6
20,132,61,17,0.001,4
13,138,83,16,0.001,4
43,116,65,139,0.001,5
179,306,73,579,0.001,6
57,141,38,51,0.001,5
35,283,121,222,0.001,5
15,159,29,87,0.001,5
55,159,114,493,0.001,6
37,123,67,52,0.001,4
7,15,78,58,0.001,4
30,51,12,54,0.001,6
31,56,33,77,0.001,5
109,226,68,192,0.001,5
137,279,66,505,0.001,6
59,119,36,70,0.001,5
151,242,68,232,0.001,5
870,77,73,54,14,1
376,575,146,1092,0.001,6
17,40,11,86,0.001,6
