H2 ppm,CH4 ppm,C2H6 ppm,C2H4 ppm,C2H2 ppm,H2 percentage,CH4 percentage,C2H6 percentage,C2H4 percentage,C2H2 percentage,Centroid X,Centroid Y,Expected Region,Matched Region
2240.0,560.0,380.0,450.0,940.0,49.01531728665208,12.25382932166302,8.315098468271334,9.846827133479213,20.568927789934357,3.607636944461494,13.330347481323988,PentagonRegions.PD,PentagonRegions.D2
112.0,68.0,136.0,9.0,0.0001,34.46152785799143,20.923070485209085,41.84614097041817,2.769229917160026,3.076922130177807e-05,-14.5400980134943,8.94309694630908,PentagonRegions.T1,PentagonRegions.S
60.0,5.0,2.0,21.0,32.0,50.0,4.166666666666666,1.6666666666666667,17.5,26.666666666666668,8.63597771832494,13.210464069782601,PentagonRegions.D2,PentagonRegions.D1
19.0,12.0,2.0,8.0,63.0,18.269230769230766,11.538461538461538,1.9230769230769231,7.6923076923076925,60.57692307692307,17.892011299054435,8.891298090820351,PentagonRegions.D2,PentagonRegions.D1
43.0,116.0,65.0,139.0,0.0001,11.8457267642626,31.955914061731665,17.906331155280675,38.29200047052329,2.7548201777354886e-05,-3.245012655614537,-12.86253612839811,PentagonRegions.T2,PentagonRegions.T3
36.0,21.0,65.0,2.0,0.0001,29.032234651423668,16.935470213330472,52.419312565070506,1.6129019250790928,8.064509625395463e-05,-17.674042723441424,9.662706450172434,PentagonRegions.T1,PentagonRegions.S
230.0,15.9,16.3,1.9,2.4,86.30393996247656,5.966228893058163,6.116322701688557,0.7129455909943716,0.9005628517823642,-1.7293630092281616,27.3856992091825,PentagonRegions.PD,PentagonRegions.S
14.0,15.0,42.0,73.0,0.0001,9.7222154706837,10.416659432875393,29.1666464120511,50.69440923999359,6.94443962191693e-05,-1.6889429292790834,-6.161045462349275,PentagonRegions.T2,PentagonRegions.T3
1549.2,10.2,0.0001,53.19,0.0001,96.06904469591841,0.632522757486682,6.201203504771391e-06,3.298420144187903,6.201203504771391e-06,0.5220269332479008,-1.0411806611087204,PentagonRegions.PD,PentagonRegions.D2
1084.0,188.0,8.0,166.0,769.0,48.93905191873589,8.487584650112867,0.3611738148984198,7.494356659142213,34.71783295711061,10.729158303890907,16.7378450573304,PentagonRegions.D2,PentagonRegions.D1
23.0,63.0,54.0,10.0,0.3,15.302727877578176,41.91616766467065,35.928143712574844,6.65335994677312,0.19960079840319359,-16.121041257941545,-4.382128616746159,PentagonRegions.D1,PentagonRegions.T1
113.0,21.0,48.0,0.0001,4.0,60.752655509324995,11.290316510582521,25.806437738474337,5.3763411955154864e-05,2.1505364782061944,-7.923101069079604,19.33800567746837,PentagonRegions.PD,PentagonRegions.S
121.0,73.0,179.0,11.0,0.0001,31.51040846083113,19.010411716038618,46.61457119412209,2.8645825873482846,2.6041659884984407e-05,-15.885072121131588,9.077311073305522,PentagonRegions.T1,PentagonRegions.S
155.0,49.0,69.3,42.0,10.7,47.54601226993865,15.030674846625766,21.257668711656443,12.883435582822086,3.282208588957055,-5.617079520057057,10.783668649906089,PentagonRegions.D2,PentagonRegions.S
210.0,22.0,6.0,6.0,7.0,83.66533864541833,8.764940239043826,2.3904382470119523,2.3904382470119523,2.788844621513944,-0.0296333680451896,25.091035128700263,PentagonRegions.D1,PentagonRegions.PD
180.0,175.0,75.0,50.0,4.0,37.1900826446281,36.15702479338843,15.495867768595042,10.330578512396695,0.8264462809917356,-7.367547555723857,-0.5336735842550756,PentagonRegions.T2,PentagonRegions.T1
1458.0,9.0,1812.0,0.0001,0.0001,44.46477313420109,0.27447390823580914,55.26074685814291,3.049710091508991e-06,3.049710091508991e-06,-17.519026753150683,20.422376592918287,PentagonRegions.PD,PentagonRegions.S
235.0,16.0,0.0001,35.0,0.0001,82.16777470784987,5.594401682236587,3.496501051397867e-05,12.237753679892533,3.496501051397867e-05,1.3015122103085353,-4.806117965754208,PentagonRegions.PD,PentagonRegions.T3
