H2 ppm,CH4 ppm,C2H6 ppm,C2H4 ppm,C2H2 ppm,H2 percentage,CH4 percentage,C2H6 percentage,C2H4 percentage,C2H2 percentage,Centroid X,Centroid Y,Expected Region,Matched Region
220.0,340.0,42.0,480.0,14.0,20.072992700729927,31.02189781021898,3.832116788321168,43.79562043795621,1.2773722627737227,1.8049548584267228,-17.29381665307656,PentagonRegions.T3,PentagonRegions.T3
137.0,6.0,11.4,6.4,16.5,77.2701635645798,3.3840947546531304,6.429780033840947,3.6097010716300053,9.306260575296108,0.9142448092972283,25.17166096416908,PentagonRegions.D1,PentagonRegions.D1
9.0,56.0,135.0,7.0,1.0,4.326923076923077,26.923076923076923,64.90384615384616,3.3653846153846154,0.4807692307692308,-24.200519821519052,0.25419115047011476,PentagonRegions.T1,PentagonRegions.T1
32.4,5.5,1.4,12.6,13.2,49.76958525345622,8.448540706605224,2.1505376344086025,19.35483870967742,20.276497695852534,6.348940816938313,10.741533046586955,PentagonRegions.D2,PentagonRegions.D2
39.4,65.2,103.9,8.1,0.0001,18.19020397497508,30.101555816456226,47.96858357867794,3.739610461860359,4.616803039333777e-05,-18.247434160308558,1.6418095884455384,PentagonRegions.T1,PentagonRegions.T1
137.0,369.0,144.0,1242.0,16.0,7.180293501048219,19.339622641509436,7.547169811320755,65.09433962264151,0.8385744234800839,7.216064588865927,-19.79329030690191,PentagonRegions.T3,PentagonRegions.T3
301.0,5.78,4.7,9.7,5.0,92.2803360107916,1.7720277147587227,1.4409221902017295,2.9738181372248453,1.5328959470231163,0.04205205337126275,29.542184473073494,PentagonRegions.D1,PentagonRegions.D1
186.0,38.3,13.0,37.0,85.9,51.63797890061077,10.632981676846194,3.6091060521932254,10.272071071626874,23.84786229872293,6.247439404225266,14.753999837563683,PentagonRegions.D1,PentagonRegions.D1
185.0,302.0,27.0,33.0,0.0001,33.82083476767189,55.21022756668601,4.936013722849411,6.032905661260391,1.828153230684967e-05,-8.860225329442907,-9.647368839911008,PentagonRegions.T2,PentagonRegions.T2
137.0,67.0,7.0,53.0,104.0,37.22826086956522,18.206521739130434,1.9021739130434785,14.402173913043478,28.26086956521739,7.575371379955891,7.743842698460508,PentagonRegions.D2,PentagonRegions.D2
35.1,50.6,16.1,93.0,1.1,17.917304747320063,25.829504849412967,8.218478815722307,47.47320061255743,0.5615109749872383,2.122298626578966,-15.2935858723878,PentagonRegions.T3,PentagonRegions.T3
820.0,1740.0,951.0,867.0,128.0,18.197958277851754,38.61517976031957,21.1051930758988,19.241011984021306,2.840656901908566,-8.156171764381645,-7.362619116050068,PentagonRegions.T1,PentagonRegions.T1
120.0,25.0,1.0,8.0,40.0,61.855670103092784,12.886597938144329,0.5154639175257731,4.123711340206185,20.618556701030926,6.09242087095249,20.30463325260137,PentagonRegions.D1,PentagonRegions.D1
110.6,458.8,242.6,406.4,0.0001,9.077477915505751,37.655939128698364,19.911357525331784,33.35521722297955,8.20748455289851e-06,-5.700256035298342,-13.359393086121399,PentagonRegions.T2,PentagonRegions.T2
0.0001,153.0,395.0,11.7,0.0001,1.786670792685084e-05,27.336063128081783,70.57349631106081,2.090404827441548,1.786670792685084e-05,-27.073620244254027,-0.3276515341743847,PentagonRegions.T1,PentagonRegions.T1
290.0,966.0,299.0,1810.0,57.0,8.47457627118644,28.22910578609001,8.737580362361193,52.893045002922264,1.6656925774400935,3.0948060486085565,-18.39378626443191,PentagonRegions.T3,PentagonRegions.T3
0.0001,106.0,170.0,871.0,6.0,8.67302613416946e-06,9.193407702219627,14.744144428088083,75.54205762861599,0.5203815680501676,10.051947970541594,-19.32313393649904,PentagonRegions.T3,PentagonRegions.T3
0.0001,187.0,609.0,13.0,0.0001,1.2360936375541072e-05,23.114951022261803,75.27810252704512,1.6069217288203392,1.2360936375541072e-05,-27.888092381723258,1.3494920236537007,PentagonRegions.T1,PentagonRegions.T1
37.9,7.7,2.16,18.4,33.7,37.9531343881434,7.710795113158422,2.1630282395353495,18.425796114560384,33.74724614460244,10.639480449978088,9.214998649990784,PentagonRegions.D2,PentagonRegions.D2
15.0,159.0,29.0,87.0,0.0001,5.172412009513101,54.827567300838865,9.999996551725328,29.999989655175984,3.448274673008734e-05,-7.035273097110385,-20.057568519868745,PentagonRegions.T2,PentagonRegions.T2
16.0,98.0,35.0,64.0,0.0001,7.511733562566403,46.00936807071921,16.431917168114005,30.04693425026561,4.6948334766040015e-05,-6.94993664713455,-15.887972934617572,PentagonRegions.T2,PentagonRegions.T2
289.0,13.4,18.2,49.8,36.3,71.05974920088518,3.2948119006638796,4.475043029259897,12.244897959183673,8.925497910007376,1.7510489193083782,20.462820491405733,PentagonRegions.D1,PentagonRegions.D1
7.0,15.0,78.0,58.0,0.0001,4.430376942799403,9.493664877427292,49.36705736262192,36.70883752605219,6.329109918284862e-05,-9.432732234685258,-1.6639266595931548,PentagonRegions.T1,PentagonRegions.T1
156.0,240.0,54.0,399.0,0.98,18.35337302054166,28.235958493141016,6.353090660956728,46.94228099484693,0.11529683051365915,2.0377636122631624,-16.811847298524857,PentagonRegions.T3,PentagonRegions.T3
59.0,119.0,36.0,70.0,0.0001,20.77464057230966,41.90139369669236,12.676051874629623,24.647878645113156,3.521125520730451e-05,-6.044250394916778,-11.862291887482963,PentagonRegions.T2,PentagonRegions.T2
4879.0,262.0,15.0,332.0,1827.0,66.69856459330144,3.5816814764183182,0.2050580997949419,4.5386192754613806,24.976076555023923,7.840300091983403,23.064195237196152,PentagonRegions.D1,PentagonRegions.D1
18.34,16.26,3.38,17.95,16.42,25.348997926744985,22.474084312370422,4.671734623358673,24.809951624049752,22.69523151347616,5.412927897609821,-1.5020159458105624,PentagonRegions.D2,PentagonRegions.D2
13.0,59.0,117.0,44.0,0.0001,5.579396747040023,25.321877544258562,50.21457072336021,18.88411206690469,4.291843651569249e-05,-15.573809534249792,-2.8751568722231378,PentagonRegions.T1,PentagonRegions.T1
1270.0,3450.0,520.0,1390.0,8.0,19.132268755649292,51.97348598975595,7.8336848448327805,20.940042181379933,0.12051822838204278,-7.3544561498654,-15.574189045666058,PentagonRegions.T2,PentagonRegions.T2
220.0,77.0,22.0,170.0,240.0,30.178326474622768,10.562414266117969,3.017832647462277,23.319615912208505,32.92181069958848,10.477138027101853,4.5773084733168385,PentagonRegions.D2,PentagonRegions.D2
1100.0,1600.0,221.0,2010.0,26.0,22.19084123461771,32.27758725035304,4.458341738955013,40.548718983256,0.5245107928182369,0.6576904435267094,-16.57120295513375,PentagonRegions.T3,PentagonRegions.T3
860.0,1670.0,30.0,2050.0,40.0,18.494623655913976,35.913978494623656,0.6451612903225806,44.086021505376344,0.8602150537634409,1.6188577847085732,-20.7233457803047,PentagonRegions.T3,PentagonRegions.T3
18.0,63.0,20.0,51.0,0.0001,11.842097472304294,41.44734115306503,13.157886080338105,33.55260950486217,6.578943040169053e-05,-4.543639621213707,-15.611577640527853,PentagonRegions.T2,PentagonRegions.T2
72.0,442.0,221.0,461.0,0.7,6.0165455001253445,36.93490432021392,18.46745216010696,38.522603827191446,0.058494192362329736,-4.110724832977313,-15.341716002403563,PentagonRegions.T2,PentagonRegions.T2
292.0,346.0,32.0,313.0,196.0,24.766751484308735,29.34690415606446,2.7141645462256148,26.547921967769295,16.62425784563189,3.248851954779011,-5.664711963381921,PentagonRegions.D2,PentagonRegions.D2
