H2 ppm,CH4 ppm,C2H6 ppm,C2H4 ppm,C2H2 ppm,H2 percentage,CH4 percentage,C2H6 percentage,C2H4 percentage,C2H2 percentage,Centroid X,Centroid Y,Expected Region,Matched Region
10.0,56.0,72.0,70.0,0.001,4.807669193898106,26.922947485829397,34.615218196066365,33.65368435728674,0.0004807669193898107,-7.869583541441852,-8.67306891558383,PentagonRegions.T1,PentagonRegions.T2
14.0,15.0,42.0,73.0,0.001,9.722154707258976,10.416594329206047,29.16646412177693,50.69409240213609,0.0006944396219470697,-1.6885930771334188,-6.161169044718309,PentagonRegions.T2,PentagonRegions.T3
50.0,274.0,95.0,320.0,6.3,6.708707902857911,36.76371930766135,12.74654501543003,42.935730578290624,0.8452971957600965,-1.5585715553054034,-17.500877363206012,PentagonRegions.T2,PentagonRegions.T3
34.0,8.6,70.3,3.1,0.001,29.310092154377976,7.413729191989724,60.60292583684623,2.67239075525211,0.0008620615339522934,-19.341358853833235,13.492132285555568,PentagonRegions.T1,PentagonRegions.S
103.5,4.7,16.3,3.5,0.001,80.85874329106804,3.671846313700674,12.734275513472552,2.734353637862204,0.0007812438965320584,-4.032114627028177,26.78483641524444,PentagonRegions.PD,PentagonRegions.S
12.0,28.0,102.0,3.0,0.001,8.275804994448315,19.310211653712734,70.34434245281066,2.0689512486120787,0.0006896504162040262,-24.51364033434822,4.222602870181428,PentagonRegions.T1,PentagonRegions.S
47.0,120.0,90.0,198.0,3.0,10.262008733624455,26.200873362445414,19.65065502183406,43.23144104803494,0.6550218340611353,-1.6345955114433912,-12.212313774742595,PentagonRegions.T2,PentagonRegions.T3
30.0,14.0,1.0,9.0,43.0,30.927835051546392,14.432989690721648,1.0309278350515463,9.278350515463918,44.329896907216494,13.042704222726536,10.526258138882278,PentagonRegions.D2,PentagonRegions.D1
109.0,102.0,28.0,91.0,0.001,33.03020293877898,30.908997245462892,8.484822773264323,27.57567401310905,0.00030302938475944014,-2.583832793372018,-8.65240524564648,PentagonRegions.T2,PentagonRegions.T3
31.0,63.0,246.0,714.0,7.0,2.9217719132893496,5.937794533459001,23.185673892554195,67.29500471253534,0.6597549481621112,5.724793915280311,-12.829098232497971,PentagonRegions.T2,PentagonRegions.T3
0.001,6.0,52.0,67.0,0.001,0.0007999872002047968,4.79992320122878,41.599334410649426,53.59914241372138,0.0007999872002047968,-0.7903460026575115,-7.559850347993859,PentagonRegions.T2,PentagonRegions.T3
205.0,20.0,8.0,0.001,6.0,85.77369969163308,8.36816582357396,3.347266329429584,0.000418408291178698,2.5104497470721876,-0.3938955943622032,27.27184962102164,PentagonRegions.D1,PentagonRegions.PD
0.001,4.9,81.0,172.0,0.001,0.0003877441818985506,1.8999464913028983,31.4072787337826,66.69199928655071,0.0003877441818985506,5.323502034870486,-11.703453752390658,PentagonRegions.T2,PentagonRegions.T3
