H2 percentage,CH4 percentage,C2H6 percentage,C2H4 percentage,C2H2 percentage,Centroid X,Centroid Y,Expected Region,Matched Region
210.0,22.0,6.0,6.0,7.0,-0.07437975379342626,62.978498173037664,PentagonRegions.D1,
254.0,5.2,0.0001,9.3,88.0,27.905419984175982,90.4551141627067,PentagonRegions.D1,
385.0,28.8,50.0,82.3,171.0,41.25086208617959,116.91689892220096,PentagonRegions.D1,
843.0,133.0,12.0,168.0,385.0,117.4206238835451,247.32803305752017,PentagonRegions.D1,
208.0,7.6,27.5,9.7,14.4,-4.092277672902404,68.35065430899766,PentagonRegions.D1,
35.0,6.0,3.0,26.0,482.0,153.5335423699496,52.84890818547798,PentagonRegions.D1,
3559.0,187.0,22.0,230.0,1140.0,353.7803092827853,1213.1365935847143,PentagonRegions.D1,
10092.0,5399.0,530.0,6500.0,37565.0,11606.419401369847,4741.64257658859,PentagonRegions.D1,
1900.0,285.0,31.0,957.0,7730.0,2476.752361756617,1111.3721252317662,PentagonRegions.D1,
307.0,22.0,2.0,33.0,109.0,33.94092726730168,100.41631006604175,PentagonRegions.D1,
225.0,4.7,0.0001,8.7,89.0,28.22415609014258,81.12153051772144,PentagonRegions.D1,
266.0,30.2,4.9,26.2,60.2,17.145693364817475,81.72372960470541,PentagonRegions.D1,
645.0,86.0,13.0,110.0,317.0,95.97429325728733,201.43441225951608,PentagonRegions.D1,
119.0,8.0,23.3,7.9,12.3,-3.4723043517065415,38.454441030165455,PentagonRegions.D1,
57.0,24.0,2.0,27.0,30.0,8.49971168249109,8.215037378010027,PentagonRegions.D1,PentagonRegions.D2
14.2,4.0,1.4,1.5,9.51,2.4099854664130693,4.77092076901447,PentagonRegions.D1,PentagonRegions.D2
818.0,94.0,49.0,121.0,978.0,294.3475755996157,325.49612320348785,PentagonRegions.D1,
115.0,25.5,110.0,12.2,8.6,-32.65355622400528,40.10168094681849,PentagonRegions.D1,
205.0,20.0,8.0,0.0001,6.0,-0.9414017927665218,65.180527623646,PentagonRegions.D1,
101.72,27.65,7.13,16.92,53.87,13.883358406956091,30.23594192376304,PentagonRegions.D1,
135.0,27.0,24.0,9.0,13.0,-4.322061184127207,38.23624268192408,PentagonRegions.D1,
6870.0,1028.0,79.0,900.0,5500.0,1701.0733773341237,2490.312361857325,PentagonRegions.D1,
119.0,8.0,20.0,0.0001,21.0,0.055864024730133334,40.44983005526459,PentagonRegions.D1,
60.0,10.0,4.0,4.0,4.0,-0.24876489055833198,16.570659163020796,PentagonRegions.D1,PentagonRegions.S
385.0,60.0,8.0,53.0,159.0,46.854615388420505,120.0492313225096,PentagonRegions.D1,
2510.0,202.0,139.0,208.0,1730.0,502.98435480729864,925.9531548014407,PentagonRegions.D1,
650.0,81.0,170.0,51.0,270.0,29.584237439511526,216.48002129955916,PentagonRegions.D1,
153.0,18.0,9.0,0.0001,278.0,84.94115708744052,78.46267263034353,PentagonRegions.D1,
1790.0,580.0,321.0,336.0,619.0,72.21360621806019,447.65352965118024,PentagonRegions.D1,
256.0,8.0,37.4,15.0,21.1,-4.976653025776136,84.37959935904439,PentagonRegions.D1,
151.0,13.5,50.7,5.0,9.2,-13.384527887263335,50.52245631119825,PentagonRegions.D1,
9.0,3.9,0.8,4.0,13.0,3.758197123986653,2.601817280496284,PentagonRegions.D1,PentagonRegions.D2
274.0,27.0,5.0,33.0,97.0,29.040345049091083,87.24200571432026,PentagonRegions.D1,
305.0,100.0,33.0,161.0,541.0,163.27495648009807,95.49712598267901,PentagonRegions.D1,
176.0,652.9,47.7,75.7,68.7,-91.4544541022352,-129.70828413351921,PentagonRegions.D1,
87.0,34.0,23.0,15.0,60.0,9.737002151468747,25.10105531950472,PentagonRegions.D2,PentagonRegions.D1
220.0,77.0,22.0,170.0,240.0,76.37833621757251,33.36857877047976,PentagonRegions.D2,
274.0,27.0,5.0,33.0,97.0,29.040345049091083,87.24200571432026,PentagonRegions.D2,
155.0,49.0,69.3,42.0,10.7,-18.31167923538599,35.154759798693846,PentagonRegions.D2,
137.0,67.0,7.0,53.0,104.0,27.87736667823767,28.49734113033466,PentagonRegions.D2,
63.0,22.0,15.0,11.0,76.0,18.10617992128229,22.37764255448004,PentagonRegions.D2,PentagonRegions.D1
292.0,346.0,32.0,313.0,196.0,38.30396454684455,-66.78695404827288,PentagonRegions.D2,
217.0,286.0,14.0,458.0,884.0,282.7050684831286,-11.101061187759885,PentagonRegions.D2,
13500.0,6110.0,212.0,4510.0,4040.0,945.8833839744024,1775.2359910588434,PentagonRegions.D2,
88.5,22.8,108.4,12.0,7.5,-32.40270487973401,32.06684536997644,PentagonRegions.D2,
50.0,42.0,98.0,10.0,33.0,-25.862906616669612,13.447022454104488,PentagonRegions.D2,PentagonRegions.S
60.0,5.0,2.0,21.0,32.0,10.363173261989928,15.852556883739123,PentagonRegions.D2,PentagonRegions.D1
25.0,9.0,6.0,5.0,44.0,11.542036985335073,10.151510978304017,PentagonRegions.D2,PentagonRegions.D1
1084.0,188.0,8.0,166.0,769.0,237.6508564311836,370.74326801986837,PentagonRegions.D2,
497.0,230.0,51.0,151.0,122.0,12.839424840736173,68.84651905257164,PentagonRegions.D2,
19.0,12.0,2.0,8.0,63.0,18.607691751016613,9.246950014453166,PentagonRegions.D2,PentagonRegions.D1
210.0,43.0,12.0,102.0,187.0,58.91755533275445,50.949287225353935,PentagonRegions.D2,
26.0,68.0,93.0,31.0,59.0,-19.92995622376772,-3.4548214024136708,PentagonRegions.D2,PentagonRegions.T1
114.0,41.0,27.0,15.0,42.0,2.5586240219057177,30.329922236725082,PentagonRegions.D2,PentagonRegions.D1
7150.0,1440.0,97.0,1210.0,1760.0,495.73179014806476,1869.7344514478718,PentagonRegions.D2,
8.0,0.0001,0.0001,43.0,101.0,39.12223657860661,1.0449185584147382,PentagonRegions.D2,
1607.0,615.0,80.0,916.0,1294.0,393.121743414207,271.0642020701499,PentagonRegions.D2,
46.0,20.0,14.0,10.0,42.0,7.63788166025239,13.44811182397823,PentagonRegions.D2,PentagonRegions.D1
1027.0,185.0,17.0,271.0,399.0,122.09598594679257,260.520408492515,PentagonRegions.D2,
37.0,11.8,15.5,43.6,83.3,25.97311072096993,6.628916183849324,PentagonRegions.D2,PentagonRegions.D1
200.0,48.0,14.0,117.0,131.0,42.085115819683274,34.703443741559475,PentagonRegions.D2,
392.0,153.0,82.0,45.0,236.0,39.59796585108039,117.3752895725888,PentagonRegions.D2,
71.0,151.0,9.0,89.0,412.0,111.11732631499345,20.915413567359664,PentagonRegions.D2,
127.0,24.0,0.0001,32.0,81.0,25.512435693500798,37.29556649450094,PentagonRegions.D2,
800.0,160.0,23.0,260.0,600.0,185.0273699419567,223.61298156302323,PentagonRegions.D2,
212.0,38.0,15.0,47.0,78.0,19.985097119314837,57.04113457071083,PentagonRegions.D2,
8200.0,3790.0,250.0,4620.0,277.0,140.34790413835782,-1258.7566777086383,PentagonRegions.D2,
2800.0,2800.0,234.0,3500.0,3600.0,1047.9844936574727,-312.97463531725845,PentagonRegions.D2,
195.7,58.0,16.4,91.6,96.9,27.25693289279114,34.38061900008076,PentagonRegions.D2,
235.0,39.45,9.63,210.0,257.0,94.21298623079424,34.4843969939559,PentagonRegions.D2,
441.0,207.0,43.0,224.0,261.0,65.94338244354579,60.853232166529914,PentagonRegions.D2,
110.0,62.0,90.0,140.0,250.0,63.88952152539225,14.271652375579942,PentagonRegions.D2,
88.0,21.8,79.2,41.2,41.5,-9.22429046463902,24.138935197090667,PentagonRegions.D2,PentagonRegions.S
531.0,111.9,22.7,122.5,169.0,45.2755958920617,132.23688899098485,PentagonRegions.D2,
9474.0,4066.0,353.0,6552.0,12997.0,4083.3950085777883,1877.7880842865957,PentagonRegions.D2,
152.0,116.0,7.0,131.0,414.0,125.08802455992739,39.38189899157094,PentagonRegions.D2,
150.0,130.0,9.0,55.0,30.0,-4.1584597830404615,-6.849449336258234,PentagonRegions.D2,PentagonRegions.T3
75.0,15.0,7.0,14.0,250.0,76.71156335126201,45.04189184595903,PentagonRegions.D2,
43.0,19.0,3.0,0.0001,40.0,11.239132454438348,17.499710700034704,PentagonRegions.D2,PentagonRegions.D1
1114.0,719.0,188.0,1217.0,699.0,214.005469327079,-95.23431020218742,PentagonRegions.D2,
35.0,11.0,0.0001,7.0,146.0,45.92675183292933,24.083053514843176,PentagonRegions.D2,
629.0,402.0,16.0,298.0,1127.0,330.08612058134054,187.75757641708213,PentagonRegions.D2,
7940.0,2000.0,355.0,3120.0,5390.0,1626.3173191969595,1885.3133202163392,PentagonRegions.D2,
7020.0,1850.0,0.0001,2960.0,4410.0,1420.3938213148533,1513.7456223539186,PentagonRegions.D2,
151.0,51.0,16.0,12.0,19.0,-1.445534504785445,36.74419597769218,PentagonRegions.D2,PentagonRegions.S
2.0,41.0,133.0,9.0,21.0,-45.162174785841174,2.1092394832044303,PentagonRegions.D2,
17.0,42.0,192.0,12.0,20.0,-60.79501409960892,11.779047702192091,PentagonRegions.D2,
156.0,55.0,103.0,13.0,16.0,-30.30896895324908,43.83344049372203,PentagonRegions.D2,
64.0,18.0,1.0,4.0,122.0,37.98272793067478,32.08955984244845,PentagonRegions.D2,
2770.0,660.0,54.0,712.0,763.0,216.01633477816605,608.3816118964007,PentagonRegions.D2,
4419.0,3564.0,668.0,2861.0,2025.0,281.29637962130965,-114.1018448168214,PentagonRegions.D2,
1500.0,395.0,28.0,395.0,323.0,86.73332186734437,287.1017213931821,PentagonRegions.D2,
1570.0,1110.0,175.0,1780.0,1830.0,569.5083258698476,-40.83447193164557,PentagonRegions.D2,
1249.0,370.0,56.0,606.0,1371.0,423.8015798703811,316.5961152674808,PentagonRegions.D2,
1900.0,530.0,35.0,383.0,434.0,109.53522591137782,421.5985291123472,PentagonRegions.D2,
5900.0,1500.0,68.0,1200.0,2300.0,665.9725364730998,1561.9424223691033,PentagonRegions.D2,
3700.0,1690.0,128.0,2810.0,3270.0,1050.2423333925028,368.9632319841814,PentagonRegions.D2,
75.0,5.0,31.0,69.0,36.0,9.058124286274074,12.417644536598603,PentagonRegions.D2,PentagonRegions.D1
323.0,115.0,7.0,130.0,446.0,136.61201308265746,99.9404069943118,PentagonRegions.D2,
127.0,107.0,11.0,154.0,224.0,68.64638464820395,1.1258841245361182,PentagonRegions.D2,
3090.0,5020.0,323.0,3800.0,2540.0,378.99994075262083,-1114.4076443487666,PentagonRegions.D2,
48.0,20.0,69.0,41.0,31.0,-8.14213782661903,10.152700790292956,PentagonRegions.D2,PentagonRegions.S
60.0,5.0,2.0,21.0,21.0,6.9089160308298485,14.493348286042739,PentagonRegions.D2,PentagonRegions.D1
30.0,14.0,1.0,9.0,43.0,12.651423096044743,10.210470394715806,PentagonRegions.D2,PentagonRegions.D1
7020.0,1850.0,0.0001,2960.0,4410.0,1420.3938213148533,1513.7456223539186,PentagonRegions.D2,
1170.0,255.0,18.0,312.0,325.0,95.99617632986897,258.4437711085152,PentagonRegions.D2,
858.0,1324.0,208.0,2793.0,7672.0,2512.73084577466,116.14912088568614,PentagonRegions.D2,
14.3,92.6,83.9,16.7,26.8,-34.72400374359656,-13.595374134678837,PentagonRegions.D2,
57.0,148.0,197.0,72.0,42.0,-60.42395843518198,-13.333563092053868,PentagonRegions.D2,
260.0,215.0,35.0,334.0,277.0,85.68500966082283,-30.10556141229495,PentagonRegions.D2,
215.0,84.8,87.7,1002.0,212.0,198.9297820584878,-194.93510427947555,PentagonRegions.D2,
440.0,89.0,19.0,304.0,757.0,249.73076965185206,120.33656883357105,PentagonRegions.D2,
77.0,36.0,27.0,18.0,76.0,13.144319208111941,22.259890047782797,PentagonRegions.D2,PentagonRegions.D1
60.0,85.0,5.0,67.0,227.0,63.71724619229498,12.337465778250507,PentagonRegions.D2,
594.0,230.0,44.0,130.0,102.0,8.4146656349519,100.82754440852469,PentagonRegions.D2,
1820.0,405.0,35.0,365.0,634.0,181.15009072691453,480.6930414527889,PentagonRegions.D2,
123.0,50.7,9.0,62.0,65.9,17.889369731794556,17.27049737750183,PentagonRegions.D2,PentagonRegions.D1
90.0,28.0,8.0,31.0,32.0,7.422994578762789,17.196675727004763,PentagonRegions.D2,PentagonRegions.D1
26.6,4.0,0.0001,8.0,50.0,15.933104572930896,11.20098746541725,PentagonRegions.D2,PentagonRegions.D1
46.0,21.0,1.0,11.0,93.0,28.207289073423553,19.99327385198972,PentagonRegions.D2,
305.0,85.0,25.0,197.0,130.0,42.862031245419374,32.94217661587722,PentagonRegions.D2,
75.0,15.0,7.0,14.0,26.0,5.809697947565035,20.63576384797602,PentagonRegions.D2,PentagonRegions.D1
307.0,22.0,2.0,33.0,109.0,33.94092726730168,100.41631006604175,PentagonRegions.D2,
88.0,45.0,57.0,15.0,39.0,-9.140994327805753,21.51394462029191,PentagonRegions.D2,PentagonRegions.S
80.0,28.0,4.0,15.0,107.0,31.52329059608127,30.571324680972282,PentagonRegions.D2,
755.0,229.0,32.0,404.0,460.0,144.5363449444998,125.32620818905964,PentagonRegions.D2,
530.0,345.0,85.0,266.0,250.0,37.87709409805693,39.77439325853985,PentagonRegions.D2,
310.0,230.0,54.0,610.0,760.0,268.523813103178,-32.049720072122916,PentagonRegions.D2,
620.0,325.0,38.0,181.0,244.0,47.57620319210445,103.11337899203991,PentagonRegions.D2,
4906.0,8784.0,1404.0,9924.0,9671.0,2465.8992963743312,-1966.8510530743424,PentagonRegions.D2,
85.0,98.0,315.0,30.0,0.0001,-105.44502328415349,28.252996116028935,PentagonRegions.T1,
12.0,28.0,102.0,3.0,0.0001,-35.545139243055864,6.122826387989298,PentagonRegions.T1,PentagonRegions.S
